epoch,accuracy,loss,val_accuracy,val_auc,val_logloss,val_loss,val_rmse
0,0.85152763,0.334356253648941,0.9315091967582703,0.8587630099052579,0.17434830952908842,0.1743483089068107,0.22620490055950537
1,0.8685352,0.3025770373767262,0.9302043318748474,0.8682415260743767,0.1669730799378244,0.166973079326589,0.22459088542890854
2,0.8698835,0.3021257229968249,0.9172576069831848,0.8689871384377968,0.19317348666385664,0.19317348582639138,0.24309120377880486
3,0.86986476,0.3051048818999635,0.9334861040115356,0.8677876410218724,0.15884203548783316,0.1588420222327879,0.21874595493637214
4,0.87018865,0.3075018122340534,0.9208065867424011,0.8647262625063341,0.17950842000565173,0.1795084202933447,0.2361888671607801
5,0.8698213,0.31013078770423186,0.9293322563171387,0.8760165028220827,0.16235902372119101,0.16235902346566203,0.22360025341705794
6,0.86945903,0.3130336426464477,0.9046043157577515,0.8635700829075896,0.21405452898214564,0.2140545243078936,0.25878010395004075
7,0.8690329,0.31582031201968264,0.9094318747520447,0.869413833661644,0.20028193409069645,0.20028193391785104,0.25081025627128783
8,0.88089025,0.28019730167952345,0.9365842938423157,0.8873758387826327,0.14790005985162993,0.14790006017174634,0.2126064771697325
9,0.8829239,0.2758868076126925,0.9403234124183655,0.8860830197381264,0.14198779469009884,0.14198779447050922,0.20741304778624967
10,0.8854293,0.27113074552668964,0.9433576464653015,0.8827614048663103,0.13571090694790497,0.13571090568788718,0.20208704972160227
11,0.88837814,0.26567581798935197,0.943834662437439,0.8895521062520154,0.1365404863048518,0.13654048743421265,0.20196239452712567
12,0.89117205,0.2604072587211635,0.9251800775527954,0.8779394815177167,0.1747157906473902,0.17471579167805026,0.23122287027684302
13,0.8931636,0.25613357442395845,0.9322812557220459,0.8849526558068217,0.16057415922052656,0.16057415813156525,0.2209725082277804
14,0.894873,0.2532638496722644,0.9281979203224182,0.8868343132840794,0.16982657406982088,0.16982657401804904,0.22733937253168027
15,0.904099,0.23038200273639484,0.9216212630271912,0.8876046647995367,0.1833703417309209,0.18337034327968482,0.2371639525793138
16,0.90492016,0.2288372778908339,0.9373612999916077,0.8892437354536062,0.15146393903420982,0.15146393694082946,0.21350967388297057
17,0.90556794,0.2276520334301358,0.9437527060508728,0.8856962105615869,0.1379918177821785,0.13799181826833376,0.20272154139003848
18,0.90600914,0.2267761186612075,0.9119611978530884,0.8879808821174504,0.2042433961830583,0.20424339561689936,0.2509960493131211
19,0.9093637,0.2190336124971927,0.9286995530128479,0.8910193560266216,0.16930384419089145,0.1693038444671945,0.22678508081596974
